"order_id";"customer_id";"order_date"
1001;1;"2025-01-05"
1002;2;"2025-01-08"
1003;3;"2025-01-10"
1004;1;"2025-01-15"
1005;5;"2025-01-18"
1006;6;"2025-01-20"
1007;7;"2025-01-22"
1008;8;"2025-01-25"
1009;9;"2025-01-27"
1010;10;"2025-01-30"
1011;11;"2025-02-01"
1012;12;"2025-02-02"
1013;13;"2025-02-03"
1014;14;"2025-02-04"
1015;15;"2025-02-05"
1016;16;"2025-02-06"
1017;17;"2025-02-07"
1018;18;"2025-02-08"
1019;19;"2025-02-09"
1020;20;"2025-02-10"
1021;1;"2025-02-11"
1022;2;"2025-02-12"
1023;3;"2025-02-13"
1024;4;"2025-02-14"
1025;5;"2025-02-15"
1026;21;"2025-02-16"
1027;22;"2025-02-17"
1028;23;"2025-02-18"
1029;24;"2025-02-19"
1030;25;"2025-02-20"
1031;26;"2025-02-21"
1032;27;"2025-02-22"
1033;28;"2025-02-23"
1034;29;"2025-02-24"
1035;30;"2025-02-25"
1036;31;"2025-02-26"
1037;32;"2025-02-27"
1038;33;"2025-02-28"
1039;34;"2025-03-01"
1040;35;"2025-03-02"
1041;36;"2025-03-03"
1042;37;"2025-03-04"
1043;38;"2025-03-05"
1044;39;"2025-03-06"
1045;40;"2025-03-07"
1046;21;"2025-03-08"
1047;22;"2025-03-09"
1048;23;"2025-03-10"
1049;24;"2025-03-11"
1050;25;"2025-03-12"
